Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.24,-.09,-.16,-.10,-.21,-.18,-.09,-.14,-.23,-.21,-.17,-.16,***,***,-.11,-.16,-.19
1881,-.19,-.13,.04,.06,.07,-.18,.01,-.03,-.15,-.21,-.18,-.06,-.08,-.09,-.16,.05,-.07,-.18
1882,.17,.15,.05,-.16,-.14,-.22,-.15,-.06,-.14,-.24,-.16,-.35,-.10,-.08,.09,-.08,-.14,-.18
1883,-.28,-.36,-.12,-.18,-.18,-.07,-.07,-.13,-.21,-.11,-.24,-.11,-.17,-.19,-.33,-.16,-.09,-.19
1884,-.13,-.08,-.36,-.40,-.34,-.34,-.33,-.27,-.27,-.25,-.33,-.30,-.28,-.27,-.10,-.37,-.31,-.28
1885,-.58,-.33,-.26,-.41,-.45,-.43,-.33,-.30,-.28,-.23,-.23,-.09,-.33,-.34,-.40,-.37,-.36,-.25
1886,-.43,-.50,-.43,-.28,-.24,-.34,-.17,-.30,-.24,-.27,-.27,-.24,-.31,-.30,-.34,-.31,-.27,-.26
1887,-.71,-.56,-.35,-.34,-.30,-.24,-.25,-.34,-.25,-.35,-.25,-.33,-.36,-.35,-.51,-.33,-.28,-.28
1888,-.33,-.35,-.40,-.20,-.22,-.17,-.10,-.15,-.12,.02,.04,-.04,-.17,-.19,-.34,-.27,-.14,-.02
1889,-.08,.17,.06,.10,-.01,-.10,-.07,-.20,-.24,-.26,-.34,-.29,-.11,-.09,.02,.05,-.13,-.28
1890,-.42,-.46,-.40,-.30,-.40,-.25,-.28,-.39,-.37,-.25,-.44,-.31,-.35,-.35,-.39,-.36,-.30,-.35
1891,-.33,-.47,-.18,-.27,-.17,-.20,-.17,-.17,-.16,-.22,-.31,-.04,-.22,-.25,-.37,-.21,-.18,-.23
1892,-.28,-.10,-.40,-.33,-.23,-.22,-.32,-.27,-.17,-.14,-.42,-.38,-.27,-.24,-.14,-.32,-.27,-.24
1893,-.80,-.56,-.22,-.27,-.34,-.25,-.14,-.25,-.23,-.19,-.18,-.32,-.31,-.32,-.58,-.28,-.21,-.20
1894,-.52,-.28,-.23,-.45,-.31,-.40,-.24,-.24,-.28,-.23,-.26,-.21,-.30,-.31,-.38,-.33,-.29,-.25
1895,-.40,-.42,-.32,-.22,-.27,-.21,-.17,-.17,-.13,-.11,-.16,-.14,-.23,-.23,-.35,-.27,-.18,-.13
1896,-.21,-.12,-.26,-.30,-.16,-.11,-.03,-.05,-.07,.06,-.04,-.05,-.11,-.12,-.16,-.24,-.06,-.02
1897,-.15,-.17,-.14,-.03,-.02,-.12,-.03,-.09,-.09,-.13,-.18,-.20,-.11,-.10,-.12,-.06,-.08,-.13
1898,-.02,-.29,-.51,-.30,-.30,-.19,-.22,-.26,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.22,-.31
1899,-.16,-.39,-.36,-.21,-.24,-.31,-.16,-.09,-.06,-.05,.12,-.26,-.18,-.18,-.26,-.27,-.19,.01
1900,-.36,-.05,.01,-.09,-.09,-.10,-.13,-.09,-.06,.09,-.07,-.07,-.08,-.10,-.22,-.06,-.11,-.01
1901,-.22,-.11,.06,-.02,-.16,-.13,-.15,-.21,-.22,-.30,-.18,-.28,-.16,-.14,-.13,-.04,-.16,-.23
1902,-.17,-.07,-.28,-.29,-.32,-.30,-.28,-.30,-.30,-.29,-.36,-.42,-.28,-.27,-.17,-.30,-.29,-.31
1903,-.23,-.06,-.23,-.41,-.40,-.42,-.36,-.45,-.50,-.48,-.43,-.51,-.37,-.36,-.24,-.35,-.41,-.47
1904,-.64,-.57,-.48,-.50,-.52,-.49,-.51,-.49,-.56,-.40,-.18,-.34,-.47,-.49,-.57,-.50,-.50,-.38
1905,-.35,-.60,-.22,-.34,-.30,-.28,-.27,-.21,-.20,-.25,-.07,-.13,-.27,-.29,-.43,-.29,-.25,-.17
1906,-.29,-.30,-.19,-.06,-.27,-.21,-.24,-.20,-.29,-.21,-.38,-.15,-.23,-.23,-.24,-.17,-.22,-.29
1907,-.43,-.52,-.28,-.38,-.47,-.42,-.35,-.34,-.35,-.24,-.47,-.47,-.39,-.37,-.37,-.37,-.37,-.35
1908,-.45,-.33,-.56,-.45,-.38,-.38,-.35,-.46,-.36,-.45,-.52,-.49,-.43,-.43,-.41,-.46,-.40,-.44
1909,-.72,-.46,-.55,-.59,-.54,-.52,-.45,-.33,-.39,-.40,-.31,-.56,-.49,-.48,-.56,-.56,-.43,-.37
1910,-.41,-.42,-.51,-.43,-.34,-.39,-.35,-.37,-.39,-.41,-.55,-.67,-.44,-.43,-.46,-.43,-.37,-.45
1911,-.62,-.58,-.62,-.54,-.51,-.49,-.41,-.44,-.41,-.27,-.21,-.21,-.44,-.48,-.62,-.56,-.45,-.30
1912,-.25,-.14,-.38,-.18,-.22,-.24,-.42,-.54,-.58,-.58,-.39,-.44,-.36,-.34,-.20,-.26,-.40,-.52
1913,-.41,-.45,-.43,-.40,-.44,-.45,-.36,-.34,-.35,-.32,-.20,-.02,-.35,-.38,-.43,-.42,-.38,-.29
1914,.04,-.10,-.24,-.30,-.22,-.26,-.24,-.16,-.17,-.04,-.16,-.04,-.16,-.16,-.03,-.25,-.22,-.12
1915,-.20,-.04,-.10,.06,-.06,-.22,-.12,-.22,-.21,-.25,-.13,-.21,-.14,-.13,-.09,-.04,-.19,-.20
1916,-.12,-.14,-.28,-.31,-.34,-.49,-.37,-.28,-.36,-.33,-.47,-.82,-.36,-.31,-.16,-.31,-.38,-.39
1917,-.57,-.64,-.64,-.55,-.55,-.44,-.26,-.22,-.23,-.45,-.34,-.68,-.46,-.48,-.68,-.58,-.31,-.34
1918,-.47,-.34,-.25,-.44,-.44,-.36,-.32,-.32,-.18,-.07,-.12,-.30,-.30,-.33,-.50,-.38,-.33,-.12
1919,-.20,-.24,-.21,-.13,-.29,-.36,-.30,-.33,-.26,-.21,-.42,-.42,-.28,-.27,-.25,-.21,-.33,-.29
1920,-.25,-.27,-.13,-.25,-.27,-.36,-.31,-.27,-.22,-.27,-.27,-.47,-.28,-.27,-.32,-.22,-.31,-.26
1921,-.05,-.18,-.24,-.30,-.31,-.28,-.15,-.26,-.19,-.04,-.14,-.18,-.19,-.22,-.23,-.28,-.23,-.12
1922,-.33,-.44,-.15,-.23,-.34,-.31,-.28,-.33,-.36,-.33,-.15,-.19,-.29,-.28,-.32,-.24,-.30,-.28
1923,-.28,-.40,-.34,-.41,-.34,-.29,-.31,-.33,-.31,-.14,-.02,-.04,-.27,-.28,-.29,-.36,-.31,-.16
1924,-.23,-.24,-.09,-.32,-.19,-.27,-.29,-.36,-.32,-.36,-.21,-.43,-.28,-.24,-.17,-.20,-.31,-.30
1925,-.39,-.41,-.28,-.26,-.30,-.32,-.27,-.20,-.20,-.17,.05,.06,-.22,-.27,-.41,-.28,-.26,-.11
1926,.21,.03,.10,-.13,-.24,-.26,-.27,-.14,-.15,-.12,-.06,-.29,-.11,-.08,.10,-.09,-.22,-.11
1927,-.27,-.18,-.39,-.31,-.26,-.27,-.19,-.24,-.13,-.01,-.06,-.33,-.22,-.22,-.25,-.32,-.23,-.07
1928,-.02,-.09,-.26,-.28,-.30,-.39,-.20,-.23,-.22,-.20,-.09,-.17,-.20,-.22,-.15,-.28,-.27,-.17
