Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.05,-.02,-.13,-.25,-.18,.06,-.06,-.15,.00,.05,-.05,***,***,-.03,-.12,-.07
1881,-.08,-.06,.09,.09,.08,-.05,-.08,-.03,-.05,-.01,.00,.09,.00,-.01,-.03,.09,-.05,-.02
1882,.07,.07,.07,-.02,-.05,-.15,-.05,.01,-.05,.02,-.01,-.07,-.01,.00,.08,.00,-.07,-.01
1883,-.02,-.08,-.10,-.08,-.11,-.03,-.09,-.06,-.11,-.07,-.04,-.06,-.07,-.07,-.06,-.09,-.06,-.07
1884,-.08,-.06,-.10,-.22,-.32,-.30,-.22,-.07,-.12,-.07,-.10,-.15,-.15,-.14,-.07,-.21,-.20,-.10
1885,-.20,-.23,-.30,-.36,-.33,-.43,-.34,-.23,-.20,-.14,-.11,-.10,-.25,-.25,-.19,-.33,-.33,-.15
1886,-.14,-.20,-.17,-.20,-.16,-.32,-.22,-.19,-.15,-.25,-.15,-.29,-.20,-.19,-.15,-.18,-.24,-.19
1887,-.37,-.44,-.28,-.31,-.35,-.28,-.27,-.17,-.30,-.23,-.25,-.23,-.29,-.29,-.36,-.31,-.24,-.26
1888,-.21,-.13,-.22,-.20,-.30,-.32,-.22,-.11,-.06,.05,.06,.14,-.13,-.16,-.19,-.24,-.21,.02
1889,.08,.02,.12,.02,.01,-.14,-.08,-.20,-.18,-.11,-.06,-.04,-.05,-.03,.08,.05,-.14,-.12
1890,-.21,-.33,-.34,-.35,-.44,-.34,-.33,-.39,-.39,-.40,-.25,-.17,-.33,-.32,-.19,-.38,-.35,-.35
1891,-.21,-.26,-.21,-.19,-.18,-.29,-.24,-.22,-.24,-.17,-.11,-.06,-.20,-.21,-.21,-.19,-.25,-.17
1892,-.09,-.06,-.14,-.22,-.24,-.39,-.26,-.22,-.14,-.01,-.03,-.12,-.16,-.15,-.07,-.20,-.29,-.06
1893,-.12,-.18,-.12,-.25,-.25,-.33,-.15,-.17,-.17,-.09,-.04,-.03,-.16,-.17,-.14,-.21,-.22,-.10
1894,-.14,-.16,-.24,-.36,-.36,-.40,-.27,-.21,-.24,-.19,-.04,-.07,-.22,-.22,-.11,-.32,-.30,-.15
1895,-.13,-.06,-.17,-.25,-.25,-.22,-.15,-.07,-.19,-.13,-.21,-.06,-.16,-.16,-.09,-.22,-.14,-.17
1896,-.09,-.08,-.05,-.02,-.16,-.30,-.06,.00,-.03,.07,.11,.12,-.04,-.06,-.07,-.08,-.12,.05
1897,.09,.06,.10,-.01,-.17,-.18,-.10,-.13,-.11,-.11,-.11,-.13,-.07,-.05,.09,-.03,-.13,-.11
1898,-.10,-.17,-.24,-.35,-.34,-.31,-.34,-.37,-.27,-.33,-.27,-.22,-.28,-.27,-.13,-.31,-.34,-.29
1899,-.21,-.14,-.15,-.18,-.23,-.28,-.16,-.12,-.06,-.13,-.10,-.07,-.15,-.16,-.19,-.19,-.19,-.10
1900,-.11,.02,-.06,-.09,-.14,-.10,-.14,-.09,-.08,-.03,-.01,-.11,-.08,-.08,-.05,-.10,-.11,-.04
1901,-.11,-.13,-.16,-.16,-.20,-.26,-.30,-.25,-.18,-.27,-.14,-.15,-.19,-.19,-.12,-.17,-.27,-.20
1902,-.19,-.15,-.18,-.19,-.26,-.24,-.24,-.32,-.25,-.28,-.27,-.24,-.23,-.23,-.17,-.21,-.26,-.27
1903,-.25,-.23,-.31,-.37,-.38,-.40,-.29,-.37,-.52,-.49,-.45,-.47,-.38,-.36,-.24,-.35,-.35,-.49
1904,-.52,-.58,-.58,-.52,-.61,-.49,-.45,-.45,-.50,-.40,-.27,-.33,-.48,-.49,-.52,-.57,-.46,-.39
1905,-.29,-.37,-.22,-.22,-.30,-.28,-.31,-.17,-.19,-.23,-.22,-.09,-.24,-.26,-.33,-.25,-.26,-.21
1906,.00,-.05,-.18,-.16,-.29,-.30,-.21,-.24,-.34,-.25,-.36,-.34,-.23,-.21,-.05,-.21,-.25,-.32
1907,-.29,-.31,-.26,-.30,-.36,-.34,-.32,-.30,-.30,-.27,-.37,-.36,-.32,-.31,-.31,-.31,-.32,-.32
1908,-.35,-.40,-.41,-.42,-.47,-.48,-.36,-.36,-.43,-.44,-.42,-.44,-.42,-.41,-.37,-.43,-.40,-.43
1909,-.51,-.47,-.42,-.53,-.60,-.53,-.47,-.33,-.43,-.47,-.53,-.56,-.49,-.48,-.48,-.52,-.44,-.48
1910,-.49,-.45,-.53,-.46,-.40,-.33,-.32,-.35,-.36,-.52,-.53,-.54,-.44,-.44,-.50,-.46,-.33,-.47
1911,-.54,-.56,-.58,-.62,-.58,-.67,-.47,-.46,-.45,-.34,-.22,-.12,-.47,-.50,-.55,-.60,-.53,-.34
1912,-.15,-.12,-.15,-.19,-.30,-.33,-.33,-.31,-.35,-.31,-.26,-.30,-.26,-.24,-.13,-.21,-.32,-.31
1913,-.25,-.25,-.39,-.29,-.33,-.40,-.21,-.21,-.28,-.25,-.25,-.15,-.27,-.29,-.27,-.34,-.28,-.26
1914,-.08,-.10,-.13,-.20,-.24,-.29,-.14,-.06,-.05,-.06,-.08,-.03,-.12,-.13,-.11,-.19,-.16,-.06
1915,-.14,.01,.03,.05,-.11,-.31,-.15,-.28,-.20,-.22,-.23,-.19,-.14,-.13,-.05,-.01,-.25,-.22
1916,-.16,-.14,-.19,-.27,-.34,-.49,-.42,-.21,-.25,-.33,-.48,-.53,-.32,-.29,-.16,-.27,-.37,-.35
1917,-.63,-.60,-.54,-.47,-.39,-.40,-.20,-.07,-.17,-.28,-.37,-.30,-.37,-.39,-.59,-.47,-.22,-.27
1918,-.28,-.25,-.26,-.31,-.38,-.29,-.30,-.27,-.11,-.08,.01,-.01,-.21,-.23,-.27,-.32,-.29,-.06
1919,-.01,-.06,-.03,-.02,-.15,-.33,-.26,-.38,-.33,-.33,-.35,-.29,-.21,-.19,-.03,-.07,-.32,-.34
1920,-.34,-.24,-.26,-.29,-.34,-.46,-.36,-.22,-.09,-.14,-.09,-.22,-.25,-.26,-.29,-.29,-.35,-.11
1921,-.29,-.29,-.38,-.44,-.37,-.40,-.27,-.23,-.20,-.06,-.18,-.23,-.28,-.28,-.27,-.40,-.30,-.15
1922,-.28,-.26,-.20,-.31,-.48,-.46,-.29,-.30,-.30,-.34,-.18,-.24,-.30,-.30,-.26,-.33,-.35,-.28
1923,-.38,-.33,-.30,-.29,-.29,-.35,-.33,-.38,-.44,-.33,-.20,-.18,-.32,-.32,-.32,-.29,-.35,-.32
1924,-.17,-.25,-.19,-.34,-.30,-.34,-.36,-.46,-.42,-.48,-.53,-.51,-.36,-.33,-.20,-.28,-.38,-.48
1925,-.51,-.44,-.34,-.36,-.37,-.39,-.28,-.21,-.34,-.25,-.12,-.09,-.31,-.34,-.49,-.36,-.29,-.24
1926,-.11,-.13,-.15,-.12,-.23,-.30,-.34,-.20,-.25,-.28,-.29,-.28,-.22,-.21,-.11,-.17,-.28,-.27
1927,-.26,-.28,-.31,-.35,-.39,-.41,-.31,-.32,-.28,-.26,-.20,-.27,-.30,-.30,-.27,-.35,-.34,-.25
1928,-.29,-.27,-.27,-.24,-.42,-.44,-.29,-.27,-.28,-.31,-.23,-.30,-.30,-.30,-.28,-.31,-.33,-.27
1929,-.34,-.37,-.47,-.48,-.49,-.48,-.39,-.44,-.31,-.28,-.19,-.42,-.39,-.38,-.33,-.48,-.44,-.26
1930,-.48,-.35,-.34,-.34,-.29,-.32,-.38,-.30,-.29,-.25,-.08,-.18,-.30,-.32,-.41,-.32,-.34,-.20
1931,-.19,-.16,-.13,-.23,-.23,-.29,-.15,-.16,-.29,-.26,-.36,-.20,-.22,-.22,-.17,-.20,-.20,-.30
1932,-.09,-.16,-.16,-.21,-.25,-.42,-.35,-.35,-.31,-.32,-.22,-.30,-.26,-.25,-.15,-.21,-.37,-.28
1933,-.27,-.28,-.27,-.32,-.32,-.37,-.30,-.33,-.32,-.34,-.38,-.36,-.32,-.32,-.28,-.30,-.34,-.35
1934,-.30,-.41,-.33,-.33,-.28,-.28,-.18,-.15,-.17,-.26,-.20,-.23,-.26,-.27,-.36,-.32,-.21,-.21
1935,-.27,-.30,-.33,-.39,-.30,-.39,-.39,-.37,-.36,-.22,-.19,-.17,-.31,-.31,-.27,-.34,-.38,-.26
1936,-.26,-.25,-.30,-.34,-.32,-.48,-.29,-.28,-.25,-.14,-.13,-.18,-.27,-.27,-.23,-.32,-.35,-.17
1937,-.24,-.19,-.18,-.25,-.24,-.24,-.22,-.12,-.11,-.16,-.08,-.15,-.18,-.19,-.21,-.22,-.19,-.12
1938,-.19,-.22,-.16,-.21,-.24,-.29,-.19,-.21,-.17,-.05,-.18,-.14,-.19,-.19,-.19,-.20,-.23,-.13
1939,-.15,-.14,-.13,-.14,-.11,-.14,-.16,-.19,-.27,-.16,-.10,.09,-.13,-.15,-.14,-.13,-.16,-.18
1940,.11,.03,.16,.08,.06,.06,.09,.08,.06,-.04,.06,.28,.09,.07,.08,.10,.08,.03
1941,.20,.17,.10,.22,.13,.08,.20,.13,-.03,.22,.29,.26,.16,.17,.22,.15,.14,.16
1942,.18,.14,.11,.10,.05,.00,.00,.00,-.17,-.26,-.09,-.04,.00,.03,.19,.09,.00,-.17
1943,.07,-.05,-.08,-.11,-.11,-.04,.17,-.09,-.04,-.01,.03,.08,-.02,-.03,-.01,-.10,.01,-.01
