Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.05,-.36,-.12,-.02,-.84,-.48,-.25,-.15,-.10,-.04,.05,.63
1881,-.08,-.17,.00,-.33,.11,-.08,-.93,-.44,-.17,.10,.11,-.06,-.07,.55
1882,-.10,-.20,-.01,-.29,-.04,.01,-1.43,-.25,-.11,-.04,-.05,.01,.04,.58
1883,-.17,-.28,-.07,-.34,-.16,-.02,-.22,-.55,-.24,-.17,-.16,-.04,.07,.46
1884,-.28,-.43,-.15,-.61,-.15,-.14,-1.37,-.66,-.44,-.12,-.17,-.19,-.02,.61
1885,-.33,-.42,-.25,-.64,-.13,-.28,-1.56,-.67,-.43,-.05,-.20,-.34,-.15,.78
1886,-.31,-.42,-.20,-.56,-.19,-.22,-1.64,-.49,-.37,-.20,-.18,-.20,-.20,.55
1887,-.36,-.42,-.29,-.51,-.29,-.29,-1.81,-.50,-.26,-.28,-.30,-.28,-.26,.28
1888,-.17,-.22,-.13,-.40,.10,-.29,-1.34,-.41,-.22,.08,.12,-.31,-.23,.11
1889,-.11,-.17,-.05,-.29,.08,-.17,-.73,-.22,-.25,.03,.13,-.16,-.15,.40
1890,-.35,-.38,-.33,-.46,-.37,-.23,-1.18,-.58,-.25,-.26,-.48,-.18,-.27,.11
1891,-.22,-.25,-.20,-.42,-.08,-.22,-1.17,-.32,-.35,.01,-.17,-.19,-.24,-.20
1892,-.27,-.39,-.16,-.42,-.30,-.09,-1.16,-.63,-.16,-.33,-.27,.02,-.21,.05
1893,-.31,-.47,-.16,-.51,-.36,-.05,-.72,-.53,-.46,-.42,-.31,.06,-.20,-.09
1894,-.30,-.38,-.22,-.32,-.34,-.25,-.98,-.32,-.17,-.48,-.19,-.15,-.35,-.42
1895,-.23,-.30,-.16,-.40,-.07,-.27,-.72,-.51,-.26,-.13,.00,-.20,-.32,-.63
1896,-.11,-.18,-.04,-.35,.10,-.16,-.93,-.35,-.21,.07,.13,-.16,-.13,.21
1897,-.11,-.15,-.07,-.35,.17,-.24,-.59,-.45,-.23,.15,.18,-.20,-.27,.36
1898,-.27,-.27,-.28,-.33,-.22,-.27,-1.17,-.19,-.22,-.17,-.28,-.29,-.21,.33
